1999,0,Hombres,17,1050
2009,13,Hombres,70,143
2000,21,Hombres,81,189
1972,28,Mujeres,1,387
1975,14,Mujeres,67,186
2020,31,Hombres,68,159
2015,8,Hombres,81,186
2016,19,Mujeres,63,193
1970,14,Hombres,54,136
1996,12,Mujeres,69,114
1993,16,Mujeres,85,167
1984,9,Hombres,1,288
1994,9,Hombres,24,213
1970,0,Mujeres,74,2214
2011,14,Hombres,66,379
1998,15,Hombres,21,196
2016,9,Mujeres,98,195
1998,8,Mujeres,82,101
2017,15,Hombres,79,821
1983,0,Hombres,77,2927
2020,12,Hombres,82,250
1980,15,Hombres,60,216
1989,9,Mujeres,76,483
2019,21,Mujeres,74,380
1954,0,Hombres,71,1541
2000,14,Hombres,30,109
1998,30,Hombres,39,163
1990,9,Mujeres,67,393
1973,21,Hombres,60,124
2015,16,Hombres,76,305
1994,11,Mujeres,71,163
1980,19,Hombres,67,111
1978,30,Mujeres,4,216
2013,25,Mujeres,91,104
1984,15,Mujeres,4,125
2019,10,Hombres,83,108
1972,15,Hombres,63,158
2015,14,Hombres,82,434
2011,9,Mujeres,82,679
1970,9,Mujeres,6,294
1971,18,Mujeres,0,846
2001,20,Mujeres,85,156
1999,24,Hombres,78,114
2013,14,Hombres,58,330
1967,0,Hombres,90,459
2010,15,Mujeres,93,300
2013,16,Hombres,49,131
2006,14,Mujeres,79,336
1998,21,Hombres,90,106
2018,19,Hombres,53,240
2014,0,Mujeres,91,4565
1994,14,Hombres,93,100
2003,13,Mujeres,77,112
1971,9,Mujeres,24,137
1997,5,Hombres,75,101
2009,0,Mujeres,68,4393
2008,9,Mujeres,77,622
1992,21,Hombres,88,115
2018,28,Hombres,50,146
1985,29,Mujeres,0,406
2013,7,Hombres,88,150
1999,13,Mujeres,78,105
2020,19,Hombres,83,286
2006,24,Mujeres,81,136
1983,0,Hombres,49,2004
1973,9,Hombres,32,217
2020,11,Hombres,84,308
2016,24,Mujeres,80,206
1997,17,Hombres,0,446
1997,12,Hombres,71,127
1973,9,Hombres,49,239
2010,0,Mujeres,32,769
2006,19,Hombres,46,118
1995,11,Mujeres,62,118
1976,21,Hombres,3,235
1991,20,Mujeres,75,132
2002,13,Hombres,69,109
2006,0,Mujeres,79,5018
1997,14,Mujeres,54,122
1991,14,Hombres,2,108
1996,0,Hombres,101,168
1970,25,Hombres,0,2366
2004,7,Hombres,79,143
1982,19,Mujeres,76,116
2019,9,Mujeres,95,390
2003,7,Mujeres,81,113
2006,14,Mujeres,61,183
1989,9,Hombres,46,226
2019,31,Mujeres,81,150
1998,15,Hombres,77,353
2009,0,Hombres,66,5336
2000,11,Hombres,85,148
2007,12,Hombres,83,150
1998,13,Mujeres,79,104
1975,4,Hombres,0,569
2011,30,Hombres,72,525
2019,7,Mujeres,74,246
1974,15,Mujeres,66,143
1962,0,Mujeres,66,1925
1982,0,Mujeres,14,521
1953,0,Hombres,38,1429
2014,28,Mujeres,65,135
1953,0,Hombres,73,1357
2011,20,Hombres,88,191
2007,2,Hombres,71,112
1988,16,Hombres,59,123
2013,13,Hombres,83,155
1960,0,Mujeres,10,852
1987,30,Hombres,40,158
2007,7,Mujeres,71,131
2020,21,Hombres,90,244
1976,0,Mujeres,76,2678
1998,15,Hombres,36,262
2017,7,Mujeres,73,226
2017,12,Hombres,76,262
1994,30,Hombres,39,161
2019,30,Mujeres,44,136
2012,19,Hombres,70,260
2004,9,Mujeres,77,560
1975,11,Hombres,68,134
1988,28,Mujeres,0,841
1994,21,Hombres,52,112
1995,15,Mujeres,57,231
2013,15,Hombres,20,233
2011,30,Hombres,23,154
2009,13,Hombres,62,118
2018,21,Mujeres,65,280
1989,9,Hombres,17,133
2016,14,Mujeres,88,386
1989,16,Mujeres,68,131
1973,20,Hombres,73,119
1997,20,Mujeres,79,163
2017,14,Hombres,72,511
2018,11,Hombres,0,935
2000,9,Mujeres,82,473
1975,15,Hombres,75,166
1984,0,Hombres,80,2762
2016,19,Hombres,25,106
1974,9,Mujeres,84,268
1994,14,Mujeres,70,244
1981,19,Hombres,71,119
2016,15,Hombres,74,870
2000,7,Hombres,58,109
1981,16,Hombres,65,125
1991,27,Hombres,0,802
2012,7,Mujeres,86,159
1970,9,Hombres,53,273
2012,24,Hombres,83,173
2002,14,Hombres,27,109
2001,24,Mujeres,84,101
